time [s];steps;f [Hz];FRCE [MW];aFRR FRCE (open loop) [MW];FCR P [MW];aFRR P [MW];mFRR P [MW];SB P [MW];P gen [MW];P gen schedule [MW];insufficient pos. aFRR;insufficient neg. aFRR;insufficient pos. mFRR;insufficient neg. mFRR;AEP [EUR/MWh]
114;;50;0;0;0;0;0;0;0;;False;False;False;False;0
115;;50;0;0;0;0;0;0;0;;False;False;False;False;0
116;;50;0;0;0;0;0;0;0;;False;False;False;False;0
117;;50;0;0;0;0;0;0;0;;False;False;False;False;0
118;;50;0;0;0;0;0;0;0;;False;False;False;False;0
119;;50;0;0;0;0;0;0;0;;False;False;False;False;0
120;;50;0;0;0;0;0;0;0;;False;False;False;False;0
121;;50;0;0;0;0;0;0;0;;False;False;False;False;0
122;;50;0;0;0;0;0;0;0;;False;False;False;False;0
123;;50;0;0;0;0;0;0;0;;False;False;False;False;0
124;;50;0;0;0;0;0;0;0;;False;False;False;False;0
125;;50;0;0;0;0;0;0;0;;False;False;False;False;0
126;;50;0;0;0;0;0;0;0;;False;False;False;False;0
127;;50;0;0;0;0;0;0;0;;False;False;False;False;0
128;;50;0;0;0;0;0;0;0;;False;False;False;False;0
129;;50;0;0;0;0;0;0;0;;False;False;False;False;0
130;;50;0;0;0;0;0;0;0;;False;False;False;False;0
131;;50;0;0;0;0;0;0;0;;False;False;False;False;0
132;;50;0;0;0;0;0;0;0;;False;False;False;False;0
133;;50;0;0;0;0;0;0;0;;False;False;False;False;0
134;;50;0;0;0;0;0;0;0;;False;False;False;False;0
135;;50;0;0;0;0;0;0;0;;False;False;False;False;0
136;;50;0;0;0;0;0;0;0;;False;False;False;False;0
137;;50;0;0;0;0;0;0;0;;False;False;False;False;0
138;;50;0;0;0;0;0;0;0;;False;False;False;False;0
139;;50;0;0;0;0;0;0;0;;False;False;False;False;0
140;;50;0;0;0;0;0;0;0;;False;False;False;False;0
141;;50;0;0;0;0;0;0;0;;False;False;False;False;0
142;;50;0;0;0;0;0;0;0;;False;False;False;False;0
143;;50;0;0;0;0;0;0;0;;False;False;False;False;0
144;;50;0;0;0;0;0;0;0;;False;False;False;False;0
145;;50;0;0;0;0;0;0;0;;False;False;False;False;0
146;;50;0;0;0;0;0;0;0;;False;False;False;False;0
147;;50;0;0;0;0;0;0;0;;False;False;False;False;0
148;;50;0;0;0;0;0;0;0;;False;False;False;False;0
149;;50;0;0;0;0;0;0;0;;False;False;False;False;0
150;;50;0;0;0;0;0;0;0;;False;False;False;False;0
151;;50;0;0;0;0;0;0;0;;False;False;False;False;0
152;;50;0;0;0;0;0;0;0;;False;False;False;False;0
153;;50;0;0;0;0;0;0;0;;False;False;False;False;0
154;;50;0;0;0;0;0;0;0;;False;False;False;False;0
155;;50;0;0;0;0;0;0;0;;False;False;False;False;0
156;;50;0;0;0;0;0;0;0;;False;False;False;False;0
157;;50;0;0;0;0;0;0;0;;False;False;False;False;0
158;;50;0;0;0;0;0;0;0;;False;False;False;False;0
159;;50;0;0;0;0;0;0;0;;False;False;False;False;0
160;;50;0;0;0;0;0;0;0;;False;False;False;False;0
161;;50;0;0;0;0;0;0;0;;False;False;False;False;0
162;;50;0;0;0;0;0;0;0;;False;False;False;False;0
163;;50;0;0;0;0;0;0;0;;False;False;False;False;0
164;;50;0;0;0;0;0;0;0;;False;False;False;False;0
165;;50;0;0;0;0;0;0;0;;False;False;False;False;0
166;;50;0;0;0;0;0;0;0;;False;False;False;False;0
167;;50;0;0;0;0;0;0;0;;False;False;False;False;0
168;;50;0;0;0;0;0;0;0;;False;False;False;False;0
169;;50;0;0;0;0;0;0;0;;False;False;False;False;0
170;;50;0;0;0;0;0;0;0;;False;False;False;False;0
171;;50;0;0;0;0;0;0;0;;False;False;False;False;0
172;;50;0;0;0;0;0;0;0;;False;False;False;False;0
173;;50;0;0;0;0;0;0;0;;False;False;False;False;0
174;;50;0;0;0;0;0;0;0;;False;False;False;False;0
175;;50;0;0;0;0;0;0;0;;False;False;False;False;0
176;;50;0;0;0;0;0;0;0;;False;False;False;False;0
177;;50;0;0;0;0;0;0;0;;False;False;False;False;0
178;;50;0;0;0;0;0;0;0;;False;False;False;False;0
179;;50;0;0;0;0;0;0;0;;False;False;False;False;0
180;;50;0;0;0;0;0;0;0;;False;False;False;False;0
181;;50;0;0;0;0;0;0;0;;False;False;False;False;0
182;;50;0;0;0;0;0;0;0;;False;False;False;False;0
183;;50;0;0;0;0;0;0;0;;False;False;False;False;0
184;;50;0;0;0;0;0;0;0;;False;False;False;False;0
185;;50;0;0;0;0;0;0;0;;False;False;False;False;0
186;;50;0;0;0;0;0;0;0;;False;False;False;False;0
187;;50;0;0;0;0;0;0;0;;False;False;False;False;0
188;;50;0;0;0;0;0;0;0;;False;False;False;False;0
189;;50;0;0;0;0;0;0;0;;False;False;False;False;0
190;;50;0;0;0;0;0;0;0;;False;False;False;False;0
191;;50;0;0;0;0;0;0;0;;False;False;False;False;0
192;;50;0;0;0;0;0;0;0;;False;False;False;False;0
193;;50;0;0;0;0;0;0;0;;False;False;False;False;0
194;;50;0;0;0;0;0;0;0;;False;False;False;False;0
195;;50;0;0;0;0;0;0;0;;False;False;False;False;0
196;;50;0;0;0;0;0;0;0;;False;False;False;False;0
197;;50;0;0;0;0;0;0;0;;False;False;False;False;0
198;;50;0;0;0;0;0;0;0;;False;False;False;False;0
199;;50;0;0;0;0;0;0;0;;False;False;False;False;0
200;;50;0;0;0;0;0;0;0;;False;False;False;False;0
201;;50;0;0;0;0;0;0;0;;False;False;False;False;0
202;;50;0;0;0;0;0;0;0;;False;False;False;False;0
203;;50;0;0;0;0;0;0;0;;False;False;False;False;0
204;;50;0;0;0;0;0;0;0;;False;False;False;False;0
205;;50;0;0;0;0;0;0;0;;False;False;False;False;0
206;;50;0;0;0;0;0;0;0;;False;False;False;False;0
207;;50;0;0;0;0;0;0;0;;False;False;False;False;0
208;;50;0;0;0;0;0;0;0;;False;False;False;False;0
209;;50;0;0;0;0;0;0;0;;False;False;False;False;0
210;;50;0;0;0;0;0;0;0;;False;False;False;False;0
211;;50;0;0;0;0;0;0;0;;False;False;False;False;0
212;;50;0;0;0;0;0;0;0;;False;False;False;False;0
213;;50;0;0;0;0;0;0;0;;False;False;False;False;0
214;;50;0;0;0;0;0;0;0;;False;False;False;False;0
215;;50;0;0;0;0;0;0;0;;False;False;False;False;0
216;;50;0;0;0;0;0;0;0;;False;False;False;False;0
217;;50;0;0;0;0;0;0;0;;False;False;False;False;0
218;;50;0;0;0;0;0;0;0;;False;False;False;False;0
219;;50;0;0;0;0;0;0;0;;False;False;False;False;0
220;;50;0;0;0;0;0;0;0;;False;False;False;False;0
221;;50;0;0;0;0;0;0;0;;False;False;False;False;0
222;;50;0;0;0;0;0;0;0;;False;False;False;False;0
223;;50;0;0;0;0;0;0;0;;False;False;False;False;0
224;;50;0;0;0;0;0;0;0;;False;False;False;False;0
225;;50;0;0;0;0;0;0;0;;False;False;False;False;0
226;;50;0;0;0;0;0;0;0;;False;False;False;False;0
227;;50;0;0;0;0;0;0;0;;False;False;False;False;0
228;;50;0;0;0;0;0;0;0;;False;False;False;False;0
229;;50;0;0;0;0;0;0;0;;False;False;False;False;0
230;;50;0;0;0;0;0;0;0;;False;False;False;False;0
231;;50;0;0;0;0;0;0;0;;False;False;False;False;0
232;;50;0;0;0;0;0;0;0;;False;False;False;False;0
233;;50;0;0;0;0;0;0;0;;False;False;False;False;0
234;;50;0;0;0;0;0;0;0;;False;False;False;False;0
235;;50;0;0;0;0;0;0;0;;False;False;False;False;0
236;;50;0;0;0;0;0;0;0;;False;False;False;False;0
237;;50;0;0;0;0;0;0;0;;False;False;False;False;0
238;;50;0;0;0;0;0;0;0;;False;False;False;False;0
239;;50;0;0;0;0;0;0;0;;False;False;False;False;0
240;;50;0;0;0;0;0;0;0;;False;False;False;False;0
241;;50;0;0;0;0;0;0;0;;False;False;False;False;0
242;;50;0;0;0;0;0;0;0;;False;False;False;False;0
243;;50;0;0;0;0;0;0;0;;False;False;False;False;0
244;;50;0;0;0;0;0;0;0;;False;False;False;False;0
245;;50;0;0;0;0;0;0;0;;False;False;False;False;0
246;;50;0;0;0;0;0;0;0;;False;False;False;False;0
247;;50;0;0;0;0;0;0;0;;False;False;False;False;0
248;;50;0;0;0;0;0;0;0;;False;False;False;False;0
249;;50;0;0;0;0;0;0;0;;False;False;False;False;0
250;;50;0;0;0;0;0;0;0;;False;False;False;False;0
251;;50;0;0;0;0;0;0;0;;False;False;False;False;0
252;;50;0;0;0;0;0;0;0;;False;False;False;False;0
253;;50;0;0;0;0;0;0;0;;False;False;False;False;0
254;;50;0;0;0;0;0;0;0;;False;False;False;False;0
255;;50;0;0;0;0;0;0;0;;False;False;False;False;0
256;;50;0;0;0;0;0;0;0;;False;False;False;False;0
257;;50;0;0;0;0;0;0;0;;False;False;False;False;0
258;;50;0;0;0;0;0;0;0;;False;False;False;False;0
259;;50;0;0;0;0;0;0;0;;False;False;False;False;0
260;;50;0;0;0;0;0;0;0;;False;False;False;False;0
261;;50;0;0;0;0;0;0;0;;False;False;False;False;0
262;;50;0;0;0;0;0;0;0;;False;False;False;False;0
263;;50;0;0;0;0;0;0;0;;False;False;False;False;0
264;;50;0;0;0;0;0;0;0;;False;False;False;False;0
265;;50;0;0;0;0;0;0;0;;False;False;False;False;0
266;;50;0;0;0;0;0;0;0;;False;False;False;False;0
267;;50;0;0;0;0;0;0;0;;False;False;False;False;0
268;;50;0;0;0;0;0;0;0;;False;False;False;False;0
269;;50;0;0;0;0;0;0;0;;False;False;False;False;0
270;;50;0;0;0;0;0;0;0;;False;False;False;False;0
271;;50;0;0;0;0;0;0;0;;False;False;False;False;0
272;;50;0;0;0;0;0;0;0;;False;False;False;False;0
273;;50;0;0;0;0;0;0;0;;False;False;False;False;0
274;;50;0;0;0;0;0;0;0;;False;False;False;False;0
275;;50;0;0;0;0;0;0;0;;False;False;False;False;0
276;;50;0;0;0;0;0;0;0;;False;False;False;False;0
277;;50;0;0;0;0;0;0;0;;False;False;False;False;0
278;;50;0;0;0;0;0;0;0;;False;False;False;False;0
279;;50;0;0;0;0;0;0;0;;False;False;False;False;0
280;;50;0;0;0;0;0;0;0;;False;False;False;False;0
281;;50;0;0;0;0;0;0;0;;False;False;False;False;0
282;;50;0;0;0;0;0;0;0;;False;False;False;False;0
283;;50;0;0;0;0;0;0;0;;False;False;False;False;0
284;;50;0;0;0;0;0;0;0;;False;False;False;False;0
285;;50;0;0;0;0;0;0;0;;False;False;False;False;0
